ski_area,season_pass,vertical_drop,skiable_acres,owner,state,lift_number,avg_snowfall
Black Mountain,499,1100,143,Independent,NH,5,125
Wildcat Mountain,619,2112,225,Vail Resorts,NH,5,200
Attitash Ski Resort,619,1750,311,Vail Resorts,NH,9,120
Cranmore ,949,1200,200,Fairbank Group,NH,8,150
Sunday River,1399,2340,870,Boyne Resorts,ME,18,167
Sugarloaf,1399,2820,1240,Boyne Resorts,ME,13,200
Loon Mountain,1169,2100,370,Boyne Resorts,NH,10,160
Saddleback,699,2000,440,Independent,ME,5,200
Waterville Valley,1153,2020,265,Independent,NH,12,148
Mount Sunapee,619,1510,232,Vail Resorts,NH,10,100
Stowe,999,2360,485,Vail Resorts,VT,12,314
Pico Mountain,629,1967,260,POWDR,VT,7,250
Killington,1479,3050,1515,POWDR,VT,22,250
Jay Peak,1029,2153,385,US Government,VT,9,349
Burke Mountain,999,2011,178,US Government,VT,5,217
Stratton,1149,2003,670,Alterra,VT,11,180
Cannon Mountain,839,2180,285,State of New Hampshire,NH,11,160
Camden Snow Bowl,529,850,100,Independent,ME,3,69
Mt. Abram,599,1150,640,Independent,ME,5,125
Bretton Woods,1029,1500,464,Independent,NH,10,200
Gunstock,769,1400,227,Independent,NH,6,120
Smuggler's Notch,689,2610,1000,Independent,VT,8,280
Mad River Glen,979,2037,115,Independent,VT,5,228
Bolton Valley,729,1704,300,Independent,VT,6,300
Magic Mountain,779,1500,205,Independent,VT,6,150
King Pine,600,350,48,Independent,NH,6,120
Dartmouth Skiway,455,969,107,Independent,NH,4,100
Pats Peak,539,770,115,Independent,NH,11,100
Whaleback Mountain,100,700,85,Independent,NH,4,110
Ragged Mountain,599,1250,250,Pacific Group,NH,6,100
Bromley Mountain Resort,1080,1334,178,Fairbank Group,VT,9,168
Middlebury Snow Bowl,550,1000,120,Independent,VT,3,200
Mount Snow,999,1700,600,Vail Resorts,VT,20,156
Okemo,999,2200,667,Vail Resorts,VT,20,200
Sugarbush,1149,2600,581,Alterra,VT,16,250
Suicide Six,599,650,100,Independent,VT,3,90
Whiteface ,1019,3430,300,State of New York,NY,12,168
Gore Mountain,1019,2537,439,State of New York,NY,14,150
Hunter Mountain,999,1600,320,Vail Resorts,NY,13,120
Holiday Valley,1025,750,290,Independent,NY,13,180
Belleayre Ski Resort,749,1404,175,State of New York,NY,8,130
Catamount,659,1000,133,Independent,NY,8,108
Greek Peak,750,952,220,Independent,NY,8,122
Titus Mountain,549,1200,200,Independent,NY,10,150
