count,state,population
92,Vermont,626299
334,Ohio,11689442
133,South Carolina,5084127
257,Missouri,6126452
674,New York,19542209
134,Tennessee,6770010
36,Delaware,967171
57,District of Columbia,702455
159,Oregon,4190713
200,Minnesota,5611179
261,Virginia,8517685
309,Pennsylvania,12807060
104,Nebraska,1929268
339,Illinois,12741080
264,Florida,21299325
175,Washington,7535591
121,Kansas,2911505
155,New Jersey,8908520
46,Utah,3161105
165,Maryland,6042718
198,Indiana,6691878
38,Nevada,3034392
160,Colorado,5695564
140,Alabama,4887871
227,Iowa,3156145
312,Wisconsin,5813568
41,South Dakota,882235
327,Massachusetts,6902149
81,Louisiana,4659978
72,New Mexico,2095428
95,Maine,1338404
169,Georgia,10519475
74,Oklahoma,3943079
343,Michigan,9995915
139,Kentucky,4468402
96,Hawaii,1420491
759,California,39557045
256,North Carolina,10383620
92,Arizona,7171646
236,Texas,28701845
94,West Virginia,8517685
66,Idaho,1754208
72,Montana,1062305
66,North Dakota,760077
37,Alaska,737438
4,Virgin Islands,NaN
36,Rhode Island,1057315
111,Arkansas,3013825
158,Connecticut,3572665
83,Mississippi,2986530
96,New Hampshire,1356458
50,Wyoming,577737
42,Puerto Rico,NaN
